N,Approximated_Area,Relative_Error
100,0.777771,17.6541
600,1.11805,18.3722
1100,0.866154,8.29665
1600,0.887145,6.07424
2100,0.930547,1.47905
2600,0.994649,5.3077
3100,0.947124,0.276017
3600,0.904699,4.21574
4100,0.922417,2.33981
4600,0.944738,0.0233779
5100,0.945525,0.106742
5600,1.00867,6.7923
6100,0.93715,0.779979
6600,0.90298,4.39769
7100,1.02699,8.73134
7600,0.896739,5.05846
8100,0.977015,3.44064
8600,0.889688,5.80494
9100,0.898496,4.87242
9600,0.951959,0.787912
10100,0.923122,2.26524
10600,0.963042,1.96128
11100,0.950317,0.614039
11600,0.936175,0.88326
12100,0.935253,0.980795
12600,0.980701,3.83095
13100,0.929169,1.62497
13600,0.907161,3.95505
14100,0.925327,2.03178
14600,0.96955,2.65033
15100,0.952254,0.819155
15600,1.00587,6.49538
16100,0.984895,4.27493
16600,0.973971,3.11836
17100,0.935258,0.980297
17600,0.937413,0.752175
18100,0.972751,2.9892
18600,0.962805,1.93622
19100,0.976286,3.36347
19600,0.919635,2.63441
20100,0.963507,2.01055
20600,0.909916,3.66333
21100,0.977743,3.51773
21600,0.992018,5.0291
22100,0.959456,1.58164
22600,0.973074,3.02343
23100,0.947382,0.303327
23600,0.956971,1.31857
24100,0.97181,2.88962
24600,0.924789,2.08875
25100,0.919923,2.60387
25600,0.957023,1.32402
26100,0.933474,1.16918
26600,0.930547,1.47905
27100,0.952124,0.80532
27600,0.956362,1.25409
28100,0.950071,0.587969
28600,0.933461,1.17056
29100,0.925775,1.98436
29600,0.942653,0.197364
30100,0.964139,2.07742
30600,0.966495,2.32685
31100,0.949081,0.483141
31600,0.965753,2.24829
32100,0.935566,0.947669
32600,0.946268,0.185368
33100,0.94196,0.270695
33600,0.958035,1.43124
34100,0.937431,0.750288
34600,0.947487,0.314403
35100,0.960026,1.64202
35600,0.937258,0.768603
36100,0.906771,3.99635
36600,0.948838,0.457459
37100,0.945222,0.074645
37600,0.92774,1.77627
38100,0.953331,0.933124
38600,0.951057,0.692357
39100,0.948095,0.378771
39600,0.9511,0.696936
40100,0.927846,1.76508
40600,0.968622,2.55204
41100,0.943591,0.0980329
41600,0.954686,1.07658
42100,0.962284,1.88101
42600,0.948251,0.395271
43100,0.914693,3.15763
43600,0.950138,0.59511
44100,0.938263,0.662127
44600,0.939952,0.483357
45100,0.919184,2.68216
45600,0.940872,0.385878
46100,0.966098,2.28482
46600,0.948847,0.458425
47100,0.968911,2.58267
47600,0.936879,0.808693
48100,0.956448,1.26316
48600,0.95461,1.06854
49100,0.945879,0.144148
49600,0.94046,0.429568
50100,0.932626,1.25892
50600,0.933594,1.15648
51100,0.948812,0.454708
51600,0.952242,0.817834
52100,0.944596,0.00834561
52600,0.936171,0.883597
53100,0.934131,1.09967
53600,0.948997,0.47425
54100,0.93735,0.758769
54600,0.948175,0.387305
55100,0.945041,0.0554605
55600,0.925876,1.97361
56100,0.956963,1.31771
56600,0.943872,0.0683424
57100,0.934926,1.01551
57600,0.943013,0.159209
58100,0.94293,0.168036
58600,0.94965,0.543462
59100,0.94869,0.441756
59600,0.942036,0.262712
60100,0.949081,0.483196
60600,0.946865,0.248621
61100,0.93323,1.19507
61600,0.920446,2.54848
62100,0.965325,2.20302
62600,0.937891,0.701538
63100,0.936776,0.819557
63600,0.948367,0.40758
64100,0.938239,0.664676
64600,0.927516,1.8
65100,0.931294,1.39999
65600,0.936793,0.817791
66100,0.958829,1.51526
66600,0.94185,0.282368
67100,0.944105,0.0436519
67600,0.943738,0.0825468
68100,0.926958,1.85908
68600,0.937067,0.788834
69100,0.946466,0.206341
69600,0.957407,1.36469
70100,0.951549,0.744472
70600,0.948803,0.453795
71100,0.936798,0.817239
71600,0.938268,0.661671
72100,0.943088,0.151352
72600,0.935119,0.994973
73100,0.942954,0.165492
73600,0.956759,1.29605
74100,0.91724,2.888
74600,0.960094,1.64913
75100,0.943992,0.0555808
75600,0.945722,0.127565
76100,0.953178,0.916971
76600,0.966629,2.34108
77100,0.963891,2.0512
77600,0.951291,0.717168
78100,0.935989,0.902916
78600,0.939435,0.53803
79100,0.933251,1.19277
79600,0.974412,3.1651
80100,0.948667,0.439342
80600,0.940369,0.439146
81100,0.948118,0.381238
81600,0.964708,2.13764
82100,0.930886,1.44323
82600,0.950792,0.664335
83100,0.935712,0.932272
83600,0.932325,1.29085
84100,0.932446,1.27798
84600,0.936704,0.82725
85100,0.954277,1.03335
85600,0.938481,0.639032
86100,0.95505,1.11518
86600,0.957058,1.32773
87100,0.934151,1.09751
87600,0.938586,0.627996
88100,0.943301,0.128763
88600,0.942367,0.227664
89100,0.960102,1.65001
89600,0.942483,0.215372
90100,0.936713,0.826237
90600,0.953005,0.898683
91100,0.953965,1.00024
91600,0.951623,0.752327
92100,0.952052,0.797691
92600,0.938512,0.635838
93100,0.970334,2.73333
93600,0.948635,0.436006
94100,0.947314,0.29613
94600,0.94796,0.364467
95100,0.937557,0.736862
95600,0.940484,0.426963
96100,0.947327,0.297439
96600,0.947757,0.343044
97100,0.94508,0.0595584
97600,0.9499,0.569954
98100,0.94942,0.519039
98600,0.946577,0.218095
99100,0.960245,1.66516
99600,0.960305,1.67152
